,orderItemID,orderDate,deliveryDate,itemID,size,color,manufacturerID,price,customerID,salutation,dateOfBirth,state,creationDate,returnShipment
425781,425782,2013-03-05,2013-03-06,2751,42,grey,43,99.9,18545,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
242560,242561,2012-10-08,2012-11-19,1517,46,ocher,6,69.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,1
425780,425781,2013-03-05,2013-03-06,2525,43,black,17,139.9,18545,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
425778,425779,2013-03-05,2013-03-06,2723,43,blue,1,129.9,18545,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
343074,343075,2013-01-14,2013-02-21,2520,M,terracotta,3,59.9,36400,Mrs,1900-11-19,Saxony,2011-10-26,1
343073,343074,2013-01-14,2013-01-18,2554,M,red,97,39.9,36400,Mrs,1900-11-19,Saxony,2011-10-26,1
242554,242555,2012-10-08,2012-10-17,1470,xl,mocca,3,39.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,0
242555,242556,2012-10-08,2012-11-01,1518,xl,black,37,39.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,1
242556,242557,2012-10-08,2012-11-01,1469,xl,green,3,59.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,1
403327,403328,2013-02-24,2013-02-27,2697,M,stained,11,59.9,76480,Mrs,1900-11-19,North Rhine-Westphalia,2011-10-25,1
306556,306557,2012-12-20,2012-12-21,1847,44,petrol,74,79.9,9241,Mrs,1900-11-19,Brandenburg,2011-08-29,1
425779,425780,2013-03-05,2013-03-06,2685,42,olive,18,120.0,18545,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
450079,450080,2013-03-15,2013-03-18,2931,13,blue,21,49.95,82839,Mrs,1900-11-19,Baden-Wuerttemberg,2011-10-13,1
450078,450079,2013-03-15,2013-03-18,2931,1,blue,21,49.95,82839,Mrs,1900-11-19,Baden-Wuerttemberg,2011-10-13,0
242561,242562,2012-10-08,2012-11-19,1517,46,grey,6,69.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,1
44505,44506,2012-05-06,2012-05-08,328,l,white,37,39.9,33,Mrs,1900-11-19,North Rhine-Westphalia,2011-08-16,1
44504,44505,2012-05-06,2012-05-08,108,l,white,46,39.9,33,Mrs,1900-11-19,North Rhine-Westphalia,2011-08-16,1
44503,44504,2012-05-06,2012-05-08,954,unsized,pallid,35,6.95,33,Mrs,1900-11-19,North Rhine-Westphalia,2011-08-16,0
44502,44503,2012-05-06,2012-05-08,328,l,black,37,39.9,33,Mrs,1900-11-19,North Rhine-Westphalia,2011-08-16,0
44501,44502,2012-05-06,2012-05-08,56,46,denim,25,59.9,33,Mrs,1900-11-19,North Rhine-Westphalia,2011-08-16,1
44500,44501,2012-05-06,2012-05-08,413,l,azure,14,89.9,33,Mrs,1900-11-19,North Rhine-Westphalia,2011-08-16,1
240612,240613,2012-10-07,,1582,39,black,38,189.9,55203,Mrs,1900-11-19,Mecklenburg-Western Pomerania,2011-09-11,0
240611,240612,2012-10-07,,2244,s,navy,33,59.9,55203,Mrs,1900-11-19,Mecklenburg-Western Pomerania,2011-09-11,0
240610,240611,2012-10-07,2012-10-11,331,unsized,azure,32,9.9,55203,Mrs,1900-11-19,Mecklenburg-Western Pomerania,2011-09-11,0
240609,240610,2012-10-07,2012-10-11,1952,unsized,blue,32,19.9,55203,Mrs,1900-11-19,Mecklenburg-Western Pomerania,2011-09-11,1
240608,240609,2012-10-07,2012-10-11,1664,s,blau,37,34.9,55203,Mrs,1900-11-19,Mecklenburg-Western Pomerania,2011-09-11,1
240607,240608,2012-10-07,2012-10-11,1756,39,blue,23,139.9,55203,Mrs,1900-11-19,Mecklenburg-Western Pomerania,2011-09-11,1
320406,320407,2013-01-05,2013-01-09,1737,40,anthracite,94,89.9,27102,Mrs,1900-11-19,Schleswig-Holstein,2011-11-26,1
320407,320408,2013-01-05,2013-01-09,1700,40,black,30,139.0,27102,Mrs,1900-11-19,Schleswig-Holstein,2011-11-26,1
276558,276559,2012-11-09,2012-11-16,1669,40,brown,43,119.9,41216,Mrs,1900-11-19,Berlin,2011-10-06,1
136713,136714,2012-07-15,2012-08-03,642,38,gold,15,44.95,26066,Mrs,1900-11-19,Lower Saxony,2011-02-16,1
136714,136715,2012-07-15,2012-08-03,642,38,gold,15,42.95,26066,Mrs,1900-11-19,Lower Saxony,2011-02-16,1
464887,464888,2013-03-22,2013-03-25,2388,9,ocher,21,69.95,18545,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
450094,450095,2013-03-15,2013-03-18,2349,XL,olive,3,16.9,23236,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
464888,464889,2013-03-22,2013-04-12,2630,43,white,1,129.9,18545,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
44557,44558,2012-05-07,2012-05-08,175,m,white,3,16.9,16890,Mrs,1900-11-19,Bavaria,2011-02-16,0
242562,242563,2012-10-08,2012-11-19,1631,unsized,green,20,39.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,0
242563,242564,2012-10-08,2012-11-19,1607,xl,grey,29,59.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,1
242564,242565,2012-10-08,2012-11-19,1702,xl,anthracite,42,99.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,1
76217,76218,2012-05-31,2012-06-04,210,xl,black,2,39.9,25064,Mrs,1900-11-19,Baden-Wuerttemberg,2011-10-26,1
76218,76219,2012-05-31,2012-06-04,146,xl,green,3,21.9,25064,Mrs,1900-11-19,Baden-Wuerttemberg,2011-10-26,0
76219,76220,2012-05-31,2012-06-04,61,xl,green,28,39.9,25064,Mrs,1900-11-19,Baden-Wuerttemberg,2011-10-26,0
76220,76221,2012-05-31,,146,xl,brown,3,21.9,25064,Mrs,1900-11-19,Baden-Wuerttemberg,2011-10-26,0
152713,152714,2012-08-06,2012-08-07,184,xxl,red,36,49.9,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,1
44566,44567,2012-05-07,2012-05-08,224,40,nature,58,39.9,16890,Mrs,1900-11-19,Bavaria,2011-02-16,1
44565,44566,2012-05-07,2012-05-08,224,40,blue,58,39.9,16890,Mrs,1900-11-19,Bavaria,2011-02-16,1
44564,44565,2012-05-07,2012-05-08,224,41,blue,58,39.9,16890,Mrs,1900-11-19,Bavaria,2011-02-16,1
44563,44564,2012-05-07,2012-05-08,224,41,bordeaux,58,39.9,16890,Mrs,1900-11-19,Bavaria,2011-02-16,1
44562,44563,2012-05-07,2012-05-08,224,40,bordeaux,58,39.9,16890,Mrs,1900-11-19,Bavaria,2011-02-16,1
44561,44562,2012-05-07,2012-05-08,287,41,blue,61,49.9,16890,Mrs,1900-11-19,Bavaria,2011-02-16,1
44560,44561,2012-05-07,2012-05-08,287,40,blue,61,49.9,16890,Mrs,1900-11-19,Bavaria,2011-02-16,1
44559,44560,2012-05-07,2012-05-08,287,41,blue,61,49.9,16890,Mrs,1900-11-19,Bavaria,2011-02-16,1
44558,44559,2012-05-07,2012-05-08,287,40,blue,61,49.9,16890,Mrs,1900-11-19,Bavaria,2011-02-16,1
44556,44557,2012-05-07,2012-05-08,175,m,red,3,16.9,16890,Mrs,1900-11-19,Bavaria,2011-02-16,1
184718,184719,2012-08-28,2012-08-29,1959,unsized,red,42,29.9,490,Mrs,1900-11-19,Baden-Wuerttemberg,2011-04-19,0
288395,288396,2012-11-25,2012-11-27,1755,M,brown,73,79.9,6794,Mrs,1900-11-19,Berlin,2011-12-03,0
178851,178852,2012-08-23,2012-08-31,166,40,anthracite,6,39.9,26587,Mrs,1900-11-19,Baden-Wuerttemberg,2011-02-16,0
5110,5111,2012-04-06,2012-04-06,300,xxl,blue,46,34.9,239,Mrs,1900-11-19,Hesse,2011-11-17,0
238388,238389,2012-10-04,2012-10-23,1745,2,red,64,75.0,13756,Mrs,1900-11-19,Lower Saxony,2011-02-16,0
446835,446836,2013-03-13,2013-04-15,2644,XXL,red,5,79.9,50328,Mrs,1900-11-19,Baden-Wuerttemberg,2011-02-16,1
446836,446837,2013-03-13,2013-05-30,2432,unsized,black,71,19.9,50328,Mrs,1900-11-19,Baden-Wuerttemberg,2011-02-16,1
238387,238388,2012-10-04,2012-10-11,1745,11,green,64,75.0,13756,Mrs,1900-11-19,Lower Saxony,2011-02-16,1
102100,102101,2012-06-23,2012-06-26,106,40,anthracite,6,39.9,22338,Mrs,1900-11-19,Lower Saxony,2011-02-16,0
102101,102102,2012-06-23,2012-06-26,269,l,brown,42,59.9,22338,Mrs,1900-11-19,Lower Saxony,2011-02-16,0
102102,102103,2012-06-23,,83,40,black,39,49.95,22338,Mrs,1900-11-19,Lower Saxony,2011-02-16,0
119261,119262,2012-06-30,,184,xxl,red,36,49.9,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,0
119260,119261,2012-06-30,,371,10,grey,21,34.9,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,0
119259,119260,2012-06-30,2012-07-18,74,41,orange,24,34.9,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,1
119258,119259,2012-06-30,2012-07-04,74,41,orange,24,34.9,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,1
119257,119258,2012-06-30,2012-07-18,405,41,petrol,18,64.9,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,0
119256,119257,2012-06-30,2012-07-18,197,43,blue,1,74.9,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,0
119255,119256,2012-06-30,2012-07-18,249,40,red,18,59.9,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,0
119254,119255,2012-06-30,2012-07-04,389,xl,stained,20,39.9,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,1
119253,119254,2012-06-30,2012-07-04,676,9,black,19,49.9,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,1
5111,5112,2012-04-06,2012-04-06,301,xl,red,20,54.9,239,Mrs,1900-11-19,Hesse,2011-11-17,1
119252,119253,2012-06-30,2012-07-04,71,10,aquamarine,21,34.95,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,1
5112,5113,2012-04-06,2012-04-06,271,xl,brown,5,59.9,239,Mrs,1900-11-19,Hesse,2011-11-17,1
446833,446834,2013-03-13,2013-04-15,2413,XXL,pink,5,79.9,50328,Mrs,1900-11-19,Baden-Wuerttemberg,2011-02-16,1
446827,446828,2013-03-13,2013-03-18,2402,XXL,red,97,39.9,50328,Mrs,1900-11-19,Baden-Wuerttemberg,2011-02-16,1
446828,446829,2013-03-13,2013-03-18,2347,42,magenta,1,89.9,50328,Mrs,1900-11-19,Baden-Wuerttemberg,2011-02-16,0
446829,446830,2013-03-13,2013-03-18,2679,42,magenta,1,139.9,50328,Mrs,1900-11-19,Baden-Wuerttemberg,2011-02-16,1
446830,446831,2013-03-13,2013-03-20,2699,XXL,purple,5,79.9,50328,Mrs,1900-11-19,Baden-Wuerttemberg,2011-02-16,0
446831,446832,2013-03-13,2013-03-22,2516,42,magenta,1,169.9,50328,Mrs,1900-11-19,Baden-Wuerttemberg,2011-02-16,1
446832,446833,2013-03-13,2013-04-01,2560,42,green,45,99.9,50328,Mrs,1900-11-19,Baden-Wuerttemberg,2011-02-16,1
218559,218560,2012-09-19,2012-10-16,1764,39,black,45,184.0,25695,Mrs,1900-11-19,Baden-Wuerttemberg,2011-12-11,1
250493,250494,2012-10-15,2012-12-06,2145,7,grey,12,120.0,8341,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,0
250494,250495,2012-10-15,2012-12-06,2082,40,cognac,38,199.9,8341,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
223440,223441,2012-09-22,2012-09-24,1661,l,red,36,119.9,5603,Mrs,1900-11-19,Hamburg,2011-02-16,1
223439,223440,2012-09-22,2012-09-24,1922,39,red,26,159.9,5603,Mrs,1900-11-19,Hamburg,2011-02-16,1
242549,242550,2012-10-08,2012-10-11,1638,xxl,basalt,46,49.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,1
242550,242551,2012-10-08,2012-10-11,1806,unsized,black,110,16.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,1
242551,242552,2012-10-08,2012-10-15,1596,42,black,17,169.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,1
223438,223439,2012-09-22,2012-09-24,1519,unsized,aubergine,73,49.9,5603,Mrs,1900-11-19,Hamburg,2011-02-16,0
238389,238390,2012-10-04,2012-10-08,1745,2,red,64,75.0,13756,Mrs,1900-11-19,Lower Saxony,2011-02-16,0
223437,223438,2012-09-22,2012-09-24,1548,5+,blue,19,89.9,5603,Mrs,1900-11-19,Hamburg,2011-02-16,1
446834,446835,2013-03-13,2013-04-15,2336,XXL,purple,3,39.9,50328,Mrs,1900-11-19,Baden-Wuerttemberg,2011-02-16,1
119251,119252,2012-06-30,2012-07-04,509,41,stained,16,79.9,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,1
119250,119251,2012-06-30,2012-07-04,37,41,pink,1,39.9,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,0
119249,119250,2012-06-30,2012-07-04,441,41,brown,53,29.9,31210,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-24,1
450097,450098,2013-03-15,2013-03-18,2345,XL,white,3,21.9,23236,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
178849,178850,2012-08-23,2012-08-24,472,l,brown,14,34.9,26587,Mrs,1900-11-19,Baden-Wuerttemberg,2011-02-16,0
326308,326309,2013-01-09,2013-01-14,2172,unsized,grey,72,19.9,27102,Mrs,1900-11-19,Schleswig-Holstein,2011-11-26,0
326307,326308,2013-01-09,2013-01-14,1933,40,anthracite,94,69.9,27102,Mrs,1900-11-19,Schleswig-Holstein,2011-11-26,0
178850,178851,2012-08-23,2012-08-24,1855,l,grey,29,89.9,26587,Mrs,1900-11-19,Baden-Wuerttemberg,2011-02-16,0
242553,242554,2012-10-08,2012-10-17,1517,46,brown,6,69.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,1
306561,306562,2012-12-20,2012-12-21,1705,XXL,black,36,89.9,9241,Mrs,1900-11-19,Brandenburg,2011-08-29,1
306560,306561,2012-12-20,2012-12-21,397,38,nature,53,39.9,9241,Mrs,1900-11-19,Brandenburg,2011-08-29,0
306559,306560,2012-12-20,2012-12-21,1820,unsized,black,11,29.9,9241,Mrs,1900-11-19,Brandenburg,2011-08-29,0
258497,258498,2012-10-20,2012-12-03,1749,41,olive,43,99.9,34500,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
258496,258497,2012-10-20,2012-11-26,1702,m,turquoise,42,99.9,34500,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,0
306558,306559,2012-12-20,2012-12-21,1544,46,petrol,74,79.9,9241,Mrs,1900-11-19,Brandenburg,2011-08-29,1
306557,306558,2012-12-20,2012-12-21,1714,XL,blue,97,29.9,9241,Mrs,1900-11-19,Brandenburg,2011-08-29,0
238386,238387,2012-10-04,2012-10-08,106,40,blue,6,39.9,13756,Mrs,1900-11-19,Lower Saxony,2011-02-16,1
238385,238386,2012-10-04,2012-10-08,1475,40,blue,7,19.9,13756,Mrs,1900-11-19,Lower Saxony,2011-02-16,0
450096,450097,2013-03-15,2013-03-18,2349,L,black,3,16.9,23236,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
450095,450096,2013-03-15,2013-03-18,2349,XL,black,3,16.9,23236,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
450098,450099,2013-03-15,2013-03-18,2416,M,green,3,16.9,23236,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
450099,450100,2013-03-15,2013-03-18,2416,L,green,3,16.9,23236,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
450100,450101,2013-03-15,2013-03-18,2416,XL,black,3,16.9,23236,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
450101,450102,2013-03-15,2013-03-18,2341,M,black,5,69.9,23236,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,0
